dataset_id	lib_name	spl_expected_status	method_name	spl_pred_score
0	spl-238	MSS	MSISensor	0.8
0	spl-194	MSS	MSISensor	1
0	spl-198	MSS	MSISensor	0.8
0	spl-193	MSS	MSISensor	0.75
0	spl-147	MSS	MSISensor	0.8
0	spl-232	MSS	MSISensor	0.75
0	spl-037	MSS	MSISensor	0.8
0	spl-187	MSS	MSISensor	0.75
0	spl-120	MSS	MSISensor	0.6667
0	spl-134	MSS	MSISensor	0.75
0	spl-237	MSS	MSISensor	0.75
0	spl-092	MSS	MSISensor	0.6667
0	spl-280	MSS	MSISensor	0.8
0	spl-156	MSS	MSISensor	0.75
0	spl-137	MSS	MSISensor	0.8
0	spl-239	MSS	MSISensor	0.8
0	spl-191	MSS	MSISensor	0.8
0	spl-215	MSS	MSISensor	0.75
0	spl-265	MSS	MSISensor	0.8
0	spl-188	MSS	MSISensor	0.75
0	spl-250	MSS	MSISensor	0.8
0	spl-203	MSS	MSISensor	0.8
0	spl-244	MSS	MSISensor	1
0	spl-212	MSS	MSISensor	0.75
0	spl-119	MSS	MSISensor	0.75
0	spl-253	MSS	MSISensor	1
0	spl-143	MSS	MSISensor	0.8
0	spl-209	MSS	MSISensor	0.8
0	spl-281	MSS	MSISensor	0.5
0	spl-226	MSS	MSISensor	0.75
0	spl-125	MSS	MSISensor	0.8
0	spl-085	MSS	MSISensor	0.8
0	spl-184	MSS	MSISensor	0.6667
0	spl-257	MSS	MSISensor	0.75
0	spl-233	MSS	MSISensor	0.75
0	spl-202	MSS	MSISensor	0.8
0	spl-229	MSS	MSISensor	0.75
0	spl-023	MSS	MSISensor	0.75
0	spl-221	MSS	MSISensor	0.75
0	spl-205	MSS	MSISensor	0.6
0	spl-063	MSS	MSISensor	0.8
0	spl-255	MSS	MSISensor	0.75
0	spl-261	MSS	MSISensor	0.8
0	spl-266	MSS	MSISensor	0.8
0	spl-070	MSS	MSISensor	0.8
0	spl-190	MSS	MSISensor	0.75
0	spl-256	MSS	MSISensor	0.75
0	spl-218	MSS	MSISensor	0.75
0	spl-206	MSS	MSISensor	0.8
0	spl-165	MSS	MSISensor	0.75
0	spl-258	MSS	MSISensor	0.5
0	spl-064	MSS	MSISensor	0.75
0	spl-235	MSS	MSISensor	0.75
0	spl-196	MSS	MSISensor	1
0	spl-269	MSS	MSISensor	0.6667
0	spl-254	MSS	MSISensor	0.75
0	spl-050	MSS	MSISensor	0.3333
0	spl-046	MSS	MSISensor	0.75
0	spl-264	MSS	MSISensor	0.8
0	spl-207	MSS	MSISensor	0.8
0	spl-236	MSS	MSISensor	0.75
0	spl-069	MSS	MSISensor	0.8
0	spl-022	MSI	MSISensor	1
0	spl-141	MSI	MSISensor	0.8333
0	spl-009	MSI	MSISensor	1
0	spl-153	MSI	MSISensor	1
0	spl-005	MSI	MSISensor	1
0	spl-044	MSI	MSISensor	1
0	spl-166	MSI	MSISensor	1
0	spl-183	MSI	MSISensor	1
0	spl-025	MSI	MSISensor	0.8333
0	spl-040	MSI	MSISensor	1
0	spl-149	MSI	MSISensor	1
0	spl-150	MSI	MSISensor	0.8333
0	spl-010	MSI	MSISensor	1
0	spl-086	MSI	MSISensor	1
