dataset_id	lib_name	spl_expected_status	method_name	spl_pred_score
0	ERR2763093	MSS	MSISensor	0.1304
0	ERR2760886	MSS	MSISensor	0.1739
0	ERR2760888	MSS	MSISensor	0.0909
0	ERR2763053	MSS	MSISensor	0.1364
0	ERR2760868	MSS	MSISensor	0.0909
0	ERR2763132	MSS	MSISensor	0.125
0	ERR2760938	MSS	MSISensor	0.1818
0	ERR2763069	MSS	MSISensor	0.1667
0	ERR2763057	MSS	MSISensor	0.2174
0	ERR2760880	MSS	MSISensor	0.1364
0	ERR2763131	MSS	MSISensor	0.0909
0	ERR2760898	MSS	MSISensor	0.1905
0	ERR2763044	MSS	MSISensor	0.1304
0	ERR2760858	MSS	MSISensor	0.1739
0	ERR2760890	MSS	MSISensor	0.125
0	ERR2763079	MSS	MSISensor	0.0435
0	ERR2760863	MSS	MSISensor	0.2174
0	ERR2760879	MSS	MSISensor	0.1304
0	ERR2760866	MSS	MSISensor	0.0909
0	ERR2760872	MSS	MSISensor	0.125
0	ERR2760862	MSS	MSISensor	0.1304
0	ERR2760895	MSS	MSISensor	0.0952
0	ERR2763058	MSS	MSISensor	0.1739
0	ERR2760903	MSS	MSISensor	0.05
0	ERR2760896	MSS	MSISensor	0.0909
0	ERR2760893	MSS	MSISensor	0.1818
0	ERR2763070	MSS	MSISensor	0.1304
0	ERR2760867	MSS	MSISensor	0.0952
0	ERR2763117	MSS	MSISensor	0.125
0	ERR2760861	MSS	MSISensor	0.0909
0	ERR2763068	MSS	MSISensor	0.0952
0	ERR2763081	MSS	MSISensor	0.0476
0	ERR2760891	MSS	MSISensor	0.0476
0	ERR2760944	MSS	MSISensor	0.0952
0	ERR2760857	MSS	MSISensor	0.1304
0	ERR2760905	MSS	MSISensor	0.125
0	ERR2763129	MSS	MSISensor	0.1
0	ERR2760939	MSS	MSISensor	0.087
0	ERR2763041	MSS	MSISensor	0.0526
0	ERR2763097	MSS	MSISensor	0.1364
0	ERR2760859	MSS	MSISensor	0.1304
0	ERR2763072	MSS	MSISensor	0.125
0	ERR2763138	MSS	MSISensor	0.2174
0	ERR2763073	MSS	MSISensor	0.1429
0	ERR2760878	MSS	MSISensor	0.0952
0	ERR2763125	MSI	MSISensor	0.6087
0	ERR2763096	MSI	MSISensor	0.6818
0	ERR2763059	MSI	MSISensor	0.8261
0	ERR2763106	MSI	MSISensor	0.5
0	ERR2760912	MSI	MSISensor	0.625
0	ERR2760925	MSI	MSISensor	0.5909
0	ERR2763115	MSI	MSISensor	0.6364
0	ERR2760942	MSI	MSISensor	0.8261
0	ERR2760954	MSI	MSISensor	0.5714
0	ERR2763103	MSI	MSISensor	0.5
0	ERR2763083	MSI	MSISensor	0.65
0	ERR2763076	MSI	MSISensor	0.5714
0	ERR2760949	MSI	MSISensor	0.2857
0	ERR2760920	MSI	MSISensor	0.6957
0	ERR2760919	MSI	MSISensor	0.5238
0	ERR2763061	MSI	MSISensor	0.7826
0	ERR2760927	MSI	MSISensor	0.7143
0	ERR2760955	MSI	MSISensor	0.4762
0	ERR2763104	MSI	MSISensor	0.7273
0	ERR2760915	MSI	MSISensor	0.6818
0	ERR2760945	MSI	MSISensor	0.3636
0	ERR2763060	MSI	MSISensor	0.625
0	ERR2763065	MSI	MSISensor	0.619
0	ERR2763074	MSI	MSISensor	0.8571
0	ERR2763067	MSI	MSISensor	0.6522
0	ERR2760911	MSI	MSISensor	0.4091
0	ERR2763071	MSI	MSISensor	0.4783
0	ERR2763109	MSI	MSISensor	0.5714
0	ERR2760921	MSI	MSISensor	0.7143
0	ERR2763040	MSI	MSISensor	0.5
0	ERR2760952	MSI	MSISensor	0.3913
0	ERR2760950	MSI	MSISensor	0.5
0	ERR2763066	MSI	MSISensor	0.4762
0	ERR2763080	MSI	MSISensor	0.7273
0	ERR2760946	MSI	MSISensor	0.6364
0	ERR2763050	MSI	MSISensor	0.619
0	ERR2760924	MSI	MSISensor	0.6667
0	ERR2760882	MSI	MSISensor	0.55
0	ERR2760916	MSI	MSISensor	0.7273
0	ERR2763137	MSI	MSISensor	0.5714
0	ERR2760918	MSI	MSISensor	0.4167
0	ERR2763123	MSI	MSISensor	0.6818
0	ERR2763063	MSI	MSISensor	0.5
0	ERR2763112	MSI	MSISensor	0.5
0	ERR2760935	MSI	MSISensor	0.4348
0	ERR2760923	MSI	MSISensor	0.913
0	ERR2760909	MSI	MSISensor	0.9048
0	ERR2760910	MSI	MSISensor	0.3182
0	ERR2760953	MSI	MSISensor	0.6522
0	ERR2760930	MSI	MSISensor	0.6522
0	ERR2763088	MSI	MSISensor	0.6818
0	ERR2763102	MSI	MSISensor	0.6522
0	ERR2763078	MSI	MSISensor	0.7273
0	ERR2763107	MSI	MSISensor	0.4545
0	ERR2763105	MSI	MSISensor	0.3333
0	ERR2763101	MSI	MSISensor	0.5217
0	ERR2760928	MSI	MSISensor	0.5217
0	ERR2760884	MSI	MSISensor	0.3043
0	ERR2763046	MSI	MSISensor	0.5238
0	ERR2760951	MSI	MSISensor	0.5652
0	ERR2763111	MSI	MSISensor	0.3913
0	ERR2763047	MSI	MSISensor	0.7727
0	ERR2760934	MSI	MSISensor	0.4348
0	ERR2760929	MSI	MSISensor	0.6522
0	ERR2760869	MSI	MSISensor	0.5217
0	ERR2760932	MSI	MSISensor	0.5238
0	ERR2762923	MSI	MSISensor	0.619
0	ERR2763039	MSI	MSISensor	0.5
