sample	sample_status	BAT25	BAT26	NR21	NR22	NR27	HT17
spl-075	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-076	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-077	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-078	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-079	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-080	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-081	MSI	MSI	MSI	MSI	MSS	MSI	MSS
spl-082	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-083	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-084	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-085	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-086	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-087	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-088	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-089	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-090	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-091	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-092	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-093	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-094	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-095	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-096	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-097	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-098	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-099	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-100	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-101	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-102	MSI	MSI	MSS	MSI	MSI	MSI	MSI
spl-103	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-104	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-105	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-106	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-107	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-108	MSS	MSS	MSS	MSS	MSS	Undetermined	MSS
spl-109	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-110	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-111	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-112	MSI	MSS	MSS	MSI	MSI	MSI	MSS
spl-113	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-114	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-115	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-116	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-117	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-118	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-119	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-120	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-121	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-122	MSI	MSI	MSS	Undetermined	MSI	MSI	MSS
spl-123	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-124	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-125	MSS	MSS	MSI	MSS	MSI	MSS	MSS
spl-126	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-127	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-128	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-129	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-130	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-131	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-132	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-133	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-134	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-135	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-136	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-137	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-138	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-139	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-140	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-141	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-142	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-143	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-144	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-145	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-146	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-147	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-148	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-149	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-150	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-151	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-152	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-153	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-154	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-155	MSI	MSI	MSI	MSI	MSI	MSI	MSI
spl-156	MSS	MSS	MSS	MSS	MSS	MSS	MSS
spl-157	MSI	MSS	MSI	MSI	MSS	MSI	MSS
